,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта,year_range,Number_of_storeys_range,year_range_1959-1989,year_range_1990-2000,year_range_2001-2010,year_range_2011-2024,Number_of_storeys_range_3-4,Number_of_storeys_range_5-9,Number_of_storeys_range_10-12,Number_of_storeys_range_> 13
577,"пр-кт Октября, д.65 корп.1",Многоквартирный дом,5,1968,4501.2,1959-1989,5-9,True,False,False,False,False,True,False,False
578,"пр-кт Октября, д.65 корп.2",Многоквартирный дом,5,1967,4530.4,1959-1989,5-9,True,False,False,False,False,True,False,False
579,"пр-кт Октября, д.65 корп.3",Многоквартирный дом,5,1967,4553.8,1959-1989,5-9,True,False,False,False,False,True,False,False
580,"пр-кт Октября, д.65 корп.4",Многоквартирный дом,9,1969,2258.9,1959-1989,5-9,True,False,False,False,False,True,False,False
581,"пр-кт Октября, д.65 корп.5",Многоквартирный дом,10,1988,4415.2,1959-1989,10-12,True,False,False,False,False,False,True,False
582,"пр-кт Октября, д.65 корп.6",Многоквартирный дом,13,2003,9026.5,2001-2010,> 13,False,False,True,False,False,False,False,True
583,"пр-кт Октября, д.65 корп.8 ПГК",Другое строение,9,,0.01,,5-9,False,False,False,False,False,True,False,False
584,"пр-кт Октября, д.65.",Другое строение,9,1972,0.04,1959-1989,5-9,True,False,False,False,False,True,False,False
585,"пр-кт Октября, д.66",Многоквартирный дом,5,1961,3699.4,1959-1989,5-9,True,False,False,False,False,True,False,False
586,"пр-кт Октября, д.66 корп.2",Многоквартирный дом,5,1971,1892.6,1959-1989,5-9,True,False,False,False,False,True,False,False
587,"пр-кт Октября, д.66 корп.3",Многоквартирный дом,5,1971,1799.6,1959-1989,5-9,True,False,False,False,False,True,False,False
588,"пр-кт Октября, д.66 корп.А",Многоквартирный дом,5,1962,3531.1,1959-1989,5-9,True,False,False,False,False,True,False,False
589,"пр-кт Октября, д.67",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
590,"пр-кт Октября, д.67 корп.1",Другое строение,5,,0.01,,5-9,False,False,False,False,False,True,False,False
591,"пр-кт Октября, д.67 корп.2",Другое строение,5,,0.01,,5-9,False,False,False,False,False,True,False,False
592,"пр-кт Октября, д.68",Многоквартирный дом,5,1960,3185.7,1959-1989,5-9,True,False,False,False,False,True,False,False
593,"пр-кт Октября, д.68 корп.1",Многоквартирный дом,5,1963,3719.9,1959-1989,5-9,True,False,False,False,False,True,False,False
594,"пр-кт Октября, д.68 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
595,"пр-кт Октября, д.69",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
596,"пр-кт Октября, д.69 корп.2",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
597,"пр-кт Октября, д.7",Многоквартирный дом,4,1953,1619.5,1900-1958,3-4,False,False,False,False,True,False,False,False
598,"пр-кт Октября, д.7 корп.1",Многоквартирный дом,9,2007,3088.0,2001-2010,5-9,False,False,True,False,False,True,False,False
599,"пр-кт Октября, д.70",Многоквартирный дом,9,1965,3117.6,1959-1989,5-9,True,False,False,False,False,True,False,False
600,"пр-кт Октября, д.70 корп.1",Многоквартирный дом,9,1965,2731.1,1959-1989,5-9,True,False,False,False,False,True,False,False
601,"пр-кт Октября, д.70 корп.2",Многоквартирный дом,5,1967,7375.6,1959-1989,5-9,True,False,False,False,False,True,False,False
602,"пр-кт Октября, д.71",Другое строение,1,,0.36,,,False,False,False,False,False,False,False,False
603,"пр-кт Октября, д.71 корп.1",Другое строение,4,1959,0.01,1959-1989,3-4,True,False,False,False,True,False,False,False
604,"пр-кт Октября, д.71 корп.2",Многоквартирный дом,20,1989,8337.4,1959-1989,> 13,True,False,False,False,False,False,False,True
605,"пр-кт Октября, д.71 корп.3",Многоквартирный дом,20,1995,8370.2,1990-2000,> 13,False,True,False,False,False,False,False,True
606,"пр-кт Октября, д.71 корп.4",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
607,"пр-кт Октября, д.71/1",Другое строение,1,,0.11,,,False,False,False,False,False,False,False,False
608,"пр-кт Октября, д.72",Многоквартирный дом,9,1965,2741.4,1959-1989,5-9,True,False,False,False,False,True,False,False
609,"пр-кт Октября, д.73",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
610,"пр-кт Октября, д.73 корп.1",Другое строение,9,,0.03,,5-9,False,False,False,False,False,True,False,False
611,"пр-кт Октября, д.73 корп.1.",Больницы,9,,0.01,,5-9,False,False,False,False,False,True,False,False
613,"пр-кт Октября, д.74",Многоквартирный дом,5,1962,6815.0,1959-1989,5-9,True,False,False,False,False,True,False,False
614,"пр-кт Октября, д.74 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
615,"пр-кт Октября, д.74 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
616,"пр-кт Октября, д.78",Многоквартирный дом,5,1962,3652.7,1959-1989,5-9,True,False,False,False,False,True,False,False
617,"пр-кт Октября, д.78 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
618,"пр-кт Октября, д.78 корп.2",Многоквартирный дом,5,1962,1596.6,1959-1989,5-9,True,False,False,False,False,True,False,False
620,"пр-кт Октября, д.78 корп.3",Многоквартирный дом,18,2010,8207.65,2001-2010,> 13,False,False,True,False,False,False,False,True
621,"пр-кт Октября, д.79",Другое строение,7,,0.01,,5-9,False,False,False,False,False,True,False,False
622,"пр-кт Октября, д.79 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
623,"пр-кт Октября, д.79 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
624,"пр-кт Октября, д.8",Многоквартирный дом,5,1960,3205.5,1959-1989,5-9,True,False,False,False,False,True,False,False
625,"пр-кт Октября, д.8 корп.1",Многоквартирный дом,12,1988,2775.3,1959-1989,10-12,True,False,False,False,False,False,True,False
626,"пр-кт Октября, д.8 корп.2",Многоквартирный дом,6,1993,2513.7,1990-2000,5-9,False,True,False,False,False,True,False,False
627,"пр-кт Октября, д.80 корп.1",Многоквартирный дом,5,1962,3461.7,1959-1989,5-9,True,False,False,False,False,True,False,False
628,"пр-кт Октября, д.80 корп.2",Многоквартирный дом,5,1962,1596.7,1959-1989,5-9,True,False,False,False,False,True,False,False
629,"пр-кт Октября, д.81",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
630,"пр-кт Октября, д.81 корп.1",Многоквартирный дом,9,1967,2652.5,1959-1989,5-9,True,False,False,False,False,True,False,False
631,"пр-кт Октября, д.81 корп.2",Многоквартирный дом,9,1967,2628.4,1959-1989,5-9,True,False,False,False,False,True,False,False
632,"пр-кт Октября, д.82",Многоквартирный дом,5,1962,7458.5,1959-1989,5-9,True,False,False,False,False,True,False,False
633,"пр-кт Октября, д.82 корп.1",Многоквартирный дом,5,1962,3215.8,1959-1989,5-9,True,False,False,False,False,True,False,False
634,"пр-кт Октября, д.82 корп.2",Многоквартирный дом,5,1962,1606.9,1959-1989,5-9,True,False,False,False,False,True,False,False
635,"пр-кт Октября, д.82 корп.3",Многоквартирный дом,5,1962,1606.9,1959-1989,5-9,True,False,False,False,False,True,False,False
637,"пр-кт Октября, д.83",Многоквартирный дом,5,1965,3810.6,1959-1989,5-9,True,False,False,False,False,True,False,False
638,"пр-кт Октября, д.83 корп.1",Многоквартирный дом,5,1964,4822.8,1959-1989,5-9,True,False,False,False,False,True,False,False
639,"пр-кт Октября, д.83 корп.2",Многоквартирный дом,5,1964,4800.4,1959-1989,5-9,True,False,False,False,False,True,False,False
640,"пр-кт Октября, д.83 корп.3",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
641,"пр-кт Октября, д.83 корп.85",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
642,"пр-кт Октября, д.84",Многоквартирный дом,5,1961,3340.6,1959-1989,5-9,True,False,False,False,False,True,False,False
643,"пр-кт Октября, д.84 корп.1",Многоквартирный дом,5,1961,3230.9,1959-1989,5-9,True,False,False,False,False,True,False,False
644,"пр-кт Октября, д.84 корп.2",Многоквартирный дом,5,1961,3209.9,1959-1989,5-9,True,False,False,False,False,True,False,False
645,"пр-кт Октября, д.84 корп.3",Многоквартирный дом,5,1961,3205.8,1959-1989,5-9,True,False,False,False,False,True,False,False
646,"пр-кт Октября, д.84 корп.4",Многоквартирный дом,18,2004,21946.2,2001-2010,> 13,False,False,True,False,False,False,False,True
647,"пр-кт Октября, д.85",Многоквартирный дом,5,1965,5605.1,1959-1989,5-9,True,False,False,False,False,True,False,False
648,"пр-кт Октября, д.85 корп.2",Многоквартирный дом,15,2002,6696.9,2001-2010,> 13,False,False,True,False,False,False,False,True
649,"пр-кт Октября, д.86",Многоквартирный дом,5,1961,3982.3,1959-1989,5-9,True,False,False,False,False,True,False,False
651,"пр-кт Октября, д.86 корп.1",Многоквартирный дом,5,1961,3257.0,1959-1989,5-9,True,False,False,False,False,True,False,False
652,"пр-кт Октября, д.86 корп.1а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
653,"пр-кт Октября, д.86 корп.2",Многоквартирный дом,5,1962,1635.0,1959-1989,5-9,True,False,False,False,False,True,False,False
654,"пр-кт Октября, д.86 корп.3",Многоквартирный дом,5,1961,1623.7,1959-1989,5-9,True,False,False,False,False,True,False,False
655,"пр-кт Октября, д.87",Многоквартирный дом,5,1965,5092.1,1959-1989,5-9,True,False,False,False,False,True,False,False
656,"пр-кт Октября, д.87 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
657,"пр-кт Октября, д.87 корп.2",Многоквартирный дом,5,1964,2633.9,1959-1989,5-9,True,False,False,False,False,True,False,False
658,"пр-кт Октября, д.87 корп.3",Многоквартирный дом,5,1964,2620.2,1959-1989,5-9,True,False,False,False,False,True,False,False
659,"пр-кт Октября, д.87 корп.4",Многоквартирный дом,12,1988,4896.0,1959-1989,10-12,True,False,False,False,False,False,True,False
660,"пр-кт Октября, д.87 корп.5",Другое строение,1,2011,0.01,2011-2024,,False,False,False,True,False,False,False,False
661,"пр-кт Октября, д.88",Многоквартирный дом,5,1961,3344.6,1959-1989,5-9,True,False,False,False,False,True,False,False
662,"пр-кт Октября, д.88 корп.1",Многоквартирный дом,5,1961,3270.5,1959-1989,5-9,True,False,False,False,False,True,False,False
663,"пр-кт Октября, д.89",Многоквартирный дом,5,1965,3185.0,1959-1989,5-9,True,False,False,False,False,True,False,False
664,"пр-кт Октября, д.89 корп.1",Многоквартирный дом,5,1963,3646.8,1959-1989,5-9,True,False,False,False,False,True,False,False
665,"пр-кт Октября, д.89 корп.1.",Другое строение,5,,0.01,,5-9,False,False,False,False,False,True,False,False
666,"пр-кт Октября, д.89 корп.2",Многоквартирный дом,5,1963,3561.5,1959-1989,5-9,True,False,False,False,False,True,False,False
667,"пр-кт Октября, д.89 корп.3",Многоквартирный дом,5,1963,3580.3,1959-1989,5-9,True,False,False,False,False,True,False,False
668,"пр-кт Октября, д.89 корп.4",Многоквартирный дом,5,1964,2675.7,1959-1989,5-9,True,False,False,False,False,True,False,False
669,"пр-кт Октября, д.89 корп.4.",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
670,"пр-кт Октября, д.89 корп.5",Многоквартирный дом,5,1964,2597.7,1959-1989,5-9,True,False,False,False,False,True,False,False
671,"пр-кт Октября, д.9",Многоквартирный дом,4,1955,3075.6,1900-1958,3-4,False,False,False,False,True,False,False,False
672,"пр-кт Октября, д.90",Многоквартирный дом,5,1961,3171.8,1959-1989,5-9,True,False,False,False,False,True,False,False
674,"пр-кт Октября, д.91",Другое строение,4,,0.02,,3-4,False,False,False,False,True,False,False,False
675,"пр-кт Октября, д.91 корп.1",Многоквартирный дом,9,1966,2260.3,1959-1989,5-9,True,False,False,False,False,True,False,False
676,"пр-кт Октября, д.91 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
677,"пр-кт Октября, д.91 корп.3",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
678,"пр-кт Октября, д.91 корп.а",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
679,"пр-кт Октября, д.92",Многоквартирный дом,5,1961,3203.9,1959-1989,5-9,True,False,False,False,False,True,False,False
680,"пр-кт Октября, д.92 корп.1",Многоквартирный дом,5,1961,3361.6,1959-1989,5-9,True,False,False,False,False,True,False,False
681,"пр-кт Октября, д.92 корп.2",Многоквартирный дом,5,1961,3497.8,1959-1989,5-9,True,False,False,False,False,True,False,False
682,"пр-кт Октября, д.93",Многоквартирный дом,5,1963,3189.3,1959-1989,5-9,True,False,False,False,False,True,False,False
683,"пр-кт Октября, д.93 корп.1",Многоквартирный дом,5,1963,3564.4,1959-1989,5-9,True,False,False,False,False,True,False,False
684,"пр-кт Октября, д.93 корп.2",Многоквартирный дом,5,1963,3551.3,1959-1989,5-9,True,False,False,False,False,True,False,False
685,"пр-кт Октября, д.93 корп.3",Многоквартирный дом,5,1963,3593.1,1959-1989,5-9,True,False,False,False,False,True,False,False
686,"пр-кт Октября, д.93 корп.4",Многоквартирный дом,5,1963,3266.2,1959-1989,5-9,True,False,False,False,False,True,False,False
687,"пр-кт Октября, д.93 корп.5",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
688,"пр-кт Октября, д.94",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
689,"пр-кт Октября, д.95",Многоквартирный дом,5,1962,3364.1,1959-1989,5-9,True,False,False,False,False,True,False,False
690,"пр-кт Октября, д.95 корп.1",Многоквартирный дом,5,1963,3557.6,1959-1989,5-9,True,False,False,False,False,True,False,False
691,"пр-кт Октября, д.95 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
692,"пр-кт Октября, д.95 корп.2*",Другое строение,0,,,,,False,False,False,False,False,False,False,False
693,"пр-кт Октября, д.97",Многоквартирный дом,5,1963,4081.2,1959-1989,5-9,True,False,False,False,False,True,False,False
695,"пр-кт Октября, д.97 корп.1",Многоквартирный дом,5,1966,3187.4,1959-1989,5-9,True,False,False,False,False,True,False,False
696,"пр-кт Октября, д.97 корп.2",Многоквартирный дом,12,1982,3653.2,1959-1989,10-12,True,False,False,False,False,False,True,False
697,"пр-кт Октября, д.99",Другое строение,2,,0.03,,1-2,False,False,False,False,False,False,False,False
698,"пр-кт Октября, д.рядом7/1",Другое строение,0,,,,,False,False,False,False,False,False,False,False
699,"пр-кт Салавата Юлаева, д.36.",Другое строение,5,1980,0.0,1959-1989,5-9,True,False,False,False,False,True,False,False
700,"пр-кт Салавата Юлаева, д.55",Другое строение,9,1995,0.01,1990-2000,5-9,False,True,False,False,False,True,False,False
701,"пр-кт Салавата Юлаева, д.55.",Другое строение,0,,0.01,,,False,False,False,False,False,False,False,False
702,"пр-кт Салавата Юлаева, д.95",Другое строение,2,,,,1-2,False,False,False,False,False,False,False,False
703,"пр-кт Салавата Юлаева, д.97",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
704,"пр-кт Салавата Юлаева, д.99 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
705,"проезд. Лесной, д.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
706,"проезд. Лесной, д.10 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
707,"проезд. Лесной, д.12",Многоквартирный дом,9,1972,11104.01,1959-1989,5-9,True,False,False,False,False,True,False,False
708,"проезд. Лесной, д.14",Многоквартирный дом,5,1969,5234.4,1959-1989,5-9,True,False,False,False,False,True,False,False
709,"проезд. Лесной, д.14 корп.1",Многоквартирный дом,5,1969,5211.6,1959-1989,5-9,True,False,False,False,False,True,False,False
710,"проезд. Лесной, д.14 корп.2",Многоквартирный дом,5,1969,3668.6,1959-1989,5-9,True,False,False,False,False,True,False,False
711,"проезд. Лесной, д.14 корп.3",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
712,"проезд. Лесной, д.16",Многоквартирный дом,15,2002,5887.0,2001-2010,> 13,False,False,True,False,False,False,False,True
713,"проезд. Лесной, д.16 корп.1",Многоквартирный дом,5,1969,3569.4,1959-1989,5-9,True,False,False,False,False,True,False,False
714,"проезд. Лесной, д.3",Другое строение,4,,0.12,,3-4,False,False,False,False,True,False,False,False
715,"проезд. Лесной, д.3 корп.1",Другое строение,2,1984,0.01,1959-1989,1-2,True,False,False,False,False,False,False,False
716,"проезд. Лесной, д.3 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
717,"проезд. Лесной, д.4",Другое строение,7,2013,0.01,2011-2024,5-9,False,False,False,True,False,True,False,False
718,"проезд. Лесной, д.6",Многоквартирный дом,9,1972,11039.4,1959-1989,5-9,True,False,False,False,False,True,False,False
719,"проезд. Лесной, д.6 корп.1",Многоквартирный дом,5,1970,3502.3,1959-1989,5-9,True,False,False,False,False,True,False,False
720,"проезд. Лесной, д.6 корп.2",Многоквартирный дом,9,1986,2831.2,1959-1989,5-9,True,False,False,False,False,True,False,False
721,"проезд. Лесной, д.6 корп.3",Многоквартирный дом,9,1986,8487.8,1959-1989,5-9,True,False,False,False,False,True,False,False
722,"проезд. Лесной, д.6 корп.5",Многоквартирный дом,12,2007,10215.4,2001-2010,10-12,False,False,True,False,False,False,True,False
723,"проезд. Лесной, д.8",Многоквартирный дом,9,1971,16174.6,1959-1989,5-9,True,False,False,False,False,True,False,False
724,"проезд. Лесной, д.8 корп.1",Многоквартирный дом,5,1970,5182.1,1959-1989,5-9,True,False,False,False,False,True,False,False
725,"проезд. Лесной, д.8 корп.1а",Другое строение,2,,0.03,,1-2,False,False,False,False,False,False,False,False
726,"проезд. Лесной, д.8 корп.2",Многоквартирный дом,9,1972,16061.1,1959-1989,5-9,True,False,False,False,False,True,False,False
727,"проезд. Лесной, д.8 корп.3",Другое строение,2,,0.04,,1-2,False,False,False,False,False,False,False,False
728,тракт. Бирский,Другое строение,0,,0.05,,,False,False,False,False,False,False,False,False
729,"ул. 40 лет Октября, д.1",Другое строение,6,,0.01,,5-9,False,False,False,False,False,True,False,False
730,"ул. 40 лет Октября, д.1 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
731,"ул. 40 лет Октября, д.11",Многоквартирный дом,5,1958,5094.0,1900-1958,5-9,False,False,False,False,False,True,False,False
732,"ул. 40 лет Октября, д.12",Многоквартирный дом,5,1959,2835.0,1959-1989,5-9,True,False,False,False,False,True,False,False
733,"ул. 40 лет Октября, д.12 корп.А",Многоквартирный дом,5,1959,2540.8,1959-1989,5-9,True,False,False,False,False,True,False,False
734,"ул. 40 лет Октября, д.15",Многоквартирный дом,2,1941,523.71,1900-1958,1-2,False,False,False,False,False,False,False,False
735,"ул. 40 лет Октября, д.16",Многоквартирный дом,5,1960,3624.4,1959-1989,5-9,True,False,False,False,False,True,False,False
736,"ул. 40 лет Октября, д.17",Многоквартирный дом,2,1941,520.7,1900-1958,1-2,False,False,False,False,False,False,False,False
737,"ул. 40 лет Октября, д.18",Многоквартирный дом,5,1960,2488.5,1959-1989,5-9,True,False,False,False,False,True,False,False
738,"ул. 40 лет Октября, д.2",Многоквартирный дом,5,1958,3159.9,1900-1958,5-9,False,False,False,False,False,True,False,False
739,"ул. 40 лет Октября, д.20 корп.А",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
740,"ул. 40 лет Октября, д.21",Многоквартирный дом,2,1943,943.6,1900-1958,1-2,False,False,False,False,False,False,False,False
741,"ул. 40 лет Октября, д.22",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
742,"ул. 40 лет Октября, д.22 корп.А",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
743,"ул. 40 лет Октября, д.33",Многоквартирный дом,2,1944,530.34,1900-1958,1-2,False,False,False,False,False,False,False,False
744,"ул. 40 лет Октября, д.4",Многоквартирный дом,5,1958,3167.6,1900-1958,5-9,False,False,False,False,False,True,False,False
745,"ул. 40 лет Октября, д.4 корп.А",Многоквартирный дом,5,1958,3784.7,1900-1958,5-9,False,False,False,False,False,True,False,False
746,"ул. 40 лет Октября, д.5",Многоквартирный дом,5,1963,2961.5,1959-1989,5-9,True,False,False,False,False,True,False,False
747,"ул. 40 лет Октября, д.6",Многоквартирный дом,5,1958,3104.6,1900-1958,5-9,False,False,False,False,False,True,False,False
748,"ул. 40 лет Октября, д.7",Многоквартирный дом,9,1975,5559.4,1959-1989,5-9,True,False,False,False,False,True,False,False
749,"ул. 40 лет Октября, д.7 корп.1",Многоквартирный дом,10,2009,5629.0,2001-2010,10-12,False,False,True,False,False,False,True,False
750,"ул. 40 лет Октября, д.8",Многоквартирный дом,5,1958,3129.1,1900-1958,5-9,False,False,False,False,False,True,False,False
751,"ул. 40 лет Октября, д.9",Многоквартирный дом,4,1957,2490.5,1900-1958,3-4,False,False,False,False,True,False,False,False
752,"ул. 40 лет Октября, д.9 корп.1",Многоквартирный дом,6,1968,5511.3,1959-1989,5-9,True,False,False,False,False,True,False,False
753,"ул. 50 лет СССР, д.0 корп.0",Другое строение,0,,0.01,,,False,False,False,False,False,False,False,False
754,"ул. 50 лет СССР, д.10",Другое строение,5,1964,0.01,1959-1989,5-9,True,False,False,False,False,True,False,False
755,"ул. 50 лет СССР, д.11",Многоквартирный дом,5,1965,3417.6,1959-1989,5-9,True,False,False,False,False,True,False,False
756,"ул. 50 лет СССР, д.12",Многоквартирный дом,9,1964,6023.3,1959-1989,5-9,True,False,False,False,False,True,False,False
757,"ул. 50 лет СССР, д.13",Многоквартирный дом,5,1965,3446.7,1959-1989,5-9,True,False,False,False,False,True,False,False
758,"ул. 50 лет СССР, д.14",Многоквартирный дом,5,1964,3656.3,1959-1989,5-9,True,False,False,False,False,True,False,False
759,"ул. 50 лет СССР, д.15",Многоквартирный дом,5,1965,3484.7,1959-1989,5-9,True,False,False,False,False,True,False,False
760,"ул. 50 лет СССР, д.16",Многоквартирный дом,5,1965,2877.0,1959-1989,5-9,True,False,False,False,False,True,False,False
761,"ул. 50 лет СССР, д.2",Многоквартирный дом,9,1973,4900.3,1959-1989,5-9,True,False,False,False,False,True,False,False
762,"ул. 50 лет СССР, д.24",Многоквартирный дом,3,1959,2472.2,1959-1989,3-4,True,False,False,False,True,False,False,False
763,"ул. 50 лет СССР, д.26",Многоквартирный дом,2,1954,234.99,1900-1958,1-2,False,False,False,False,False,False,False,False
764,"ул. 50 лет СССР, д.27 корп.1",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
765,"ул. 50 лет СССР, д.29",Многоквартирный дом,4,1959,3309.2,1959-1989,3-4,True,False,False,False,True,False,False,False
766,"ул. 50 лет СССР, д.3",Многоквартирный дом,5,1965,3664.6,1959-1989,5-9,True,False,False,False,False,True,False,False
767,"ул. 50 лет СССР, д.31",Многоквартирный дом,3,1959,2820.09,1959-1989,3-4,True,False,False,False,True,False,False,False
768,"ул. 50 лет СССР, д.33",Многоквартирный дом,4,1959,2895.0,1959-1989,3-4,True,False,False,False,True,False,False,False
769,"ул. 50 лет СССР, д.33 корп.1",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
770,"ул. 50 лет СССР, д.34",Другое строение,25,2022,0.02,2011-2024,> 13,False,False,False,True,False,False,False,True
771,"ул. 50 лет СССР, д.35",Другое строение,1,,0.02,,,False,False,False,False,False,False,False,False
772,"ул. 50 лет СССР, д.35 корп.1",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
773,"ул. 50 лет СССР, д.36",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
774,"ул. 50 лет СССР, д.36 корп.А-Б",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
775,"ул. 50 лет СССР, д.36 корп.В",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
776,"ул. 50 лет СССР, д.37",Многоквартирный дом,4,1956,3371.4,1900-1958,3-4,False,False,False,False,True,False,False,False
777,"ул. 50 лет СССР, д.38",Многоквартирный дом,14,1984,4929.3,1959-1989,> 13,True,False,False,False,False,False,False,True
778,"ул. 50 лет СССР, д.39",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
779,"ул. 50 лет СССР, д.39 корп.1",Другое строение,6,,0.01,,5-9,False,False,False,False,False,True,False,False
780,"ул. 50 лет СССР, д.39 корп.11",Другое строение,6,,0.01,,5-9,False,False,False,False,False,True,False,False
781,"ул. 50 лет СССР, д.39 корп.2",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
782,"ул. 50 лет СССР, д.4",Многоквартирный дом,5,1965,2473.8,1959-1989,5-9,True,False,False,False,False,True,False,False
783,"ул. 50 лет СССР, д.40",Многоквартирный дом,9,1971,16107.1,1959-1989,5-9,True,False,False,False,False,True,False,False
784,"ул. 50 лет СССР, д.42",Многоквартирный дом,14,1987,5350.5,1959-1989,> 13,True,False,False,False,False,False,False,True
785,"ул. 50 лет СССР, д.42 корп.1",Многоквартирный дом,5,1970,4263.2,1959-1989,5-9,True,False,False,False,False,True,False,False
786,"ул. 50 лет СССР, д.42 корп.2",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
787,"ул. 50 лет СССР, д.42 корп.3",Другое строение,2,2018,0.02,2011-2024,1-2,False,False,False,True,False,False,False,False
788,"ул. 50 лет СССР, д.42 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
789,"ул. 50 лет СССР, д.43",Многоквартирный дом,9,1971,10563.9,1959-1989,5-9,True,False,False,False,False,True,False,False
790,"ул. 50 лет СССР, д.43 корп.1",Многоквартирный дом,5,1971,3563.9,1959-1989,5-9,True,False,False,False,False,True,False,False
791,"ул. 50 лет СССР, д.43 корп.2",Многоквартирный дом,5,1968,3549.6,1959-1989,5-9,True,False,False,False,False,True,False,False
792,"ул. 50 лет СССР, д.43 корп.3",Другое строение,2,,0.03,,1-2,False,False,False,False,False,False,False,False
793,"ул. 50 лет СССР, д.44",Многоквартирный дом,9,1971,15913.1,1959-1989,5-9,True,False,False,False,False,True,False,False
794,"ул. 50 лет СССР, д.45",Многоквартирный дом,10,1972,8546.1,1959-1989,10-12,True,False,False,False,False,False,True,False
795,"ул. 50 лет СССР, д.45 корп.1",Многоквартирный дом,5,1968,3690.5,1959-1989,5-9,True,False,False,False,False,True,False,False
796,"ул. 50 лет СССР, д.45 корп.2",Многоквартирный дом,5,1968,3564.6,1959-1989,5-9,True,False,False,False,False,True,False,False
797,"ул. 50 лет СССР, д.45 корп.А",Многоквартирный дом,10,1972,10324.7,1959-1989,10-12,True,False,False,False,False,False,True,False
798,"ул. 50 лет СССР, д.45 корп.б",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
799,"ул. 50 лет СССР, д.46",Многоквартирный дом,14,1981,5573.7,1959-1989,> 13,True,False,False,False,False,False,False,True
800,"ул. 50 лет СССР, д.46 корп.1",Многоквартирный дом,5,1970,4024.2,1959-1989,5-9,True,False,False,False,False,True,False,False
801,"ул. 50 лет СССР, д.47",Многоквартирный дом,10,1971,22658.2,1959-1989,10-12,True,False,False,False,False,False,True,False
802,"ул. 50 лет СССР, д.48",Многоквартирный дом,9,1971,15931.2,1959-1989,5-9,True,False,False,False,False,True,False,False
803,"ул. 50 лет СССР, д.48 корп.1",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
804,"ул. 50 лет СССР, д.48 корп.1* потери",Другое строение,0,,,,,False,False,False,False,False,False,False,False
805,"ул. 50 лет СССР, д.5",Многоквартирный дом,5,1965,3565.0,1959-1989,5-9,True,False,False,False,False,True,False,False
806,"ул. 50 лет СССР, д.50",Многоквартирный дом,14,1986,5064.6,1959-1989,> 13,True,False,False,False,False,False,False,True
